Title,Latitude,Longitude,Person,Category,Notes,Wikidata,Image,Copyright
Whistler's Mother Statue,40.7838352,-76.337239,Whistler's Mother,Arts,Noteworthy,,https://commons.wikimedia.org/wiki/File:Mothers%27_Memorial.JPG,
Elvis Presley Homecoming Statue,34.2571137,-88.7011947,Elvis Presley,Arts,,,https://elvisnewsblog.wordpress.com/wp-content/uploads/2022/05/tupelostatue-body-lite.jpg,no copyright
Washington Irving Memorial,40.6590971,-73.9633017,Washington Irving,Arts,,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fstatic.nycgovparks.org%2Fimages%2Fcommon_images%2Fmonuments%2F1193.jpg&f=1&nofb=1&ipt=c461c33826c498d09d6ca297b2f02164ff19e837f4f2bb0ff54134448a563919&ipo=images,no copyright
Frank Zappa Statue,39.2862609,-76.5667339,Frank Zappa,Arts,,,https://fastly.4sqi.net/img/general/600x600/CSJl0IJOGartzNZCSyPmY3a2RTQ6Ga7HJIfFGWJCn58.jpg,no copyright
Secretariat Statue,38.0694853,-84.5576152,Secretariat,Animal,,,https://horseyhooves.com/wp-content/uploads/2020/09/Secretariat-statue.jpg,no copyright
Jose Marti Statue,25.7967111,-80.1293915,Jose Marti,Arts,,,https://i.pinimg.com/736x/8f/a5/c9/8fa5c9e9a3f1703546a980e5b5d33d28--jose-marti-miami-beach.jpg,no copyright
Mahalia Jackson Statue,29.9627823,-90.0691765,Mahalia Jackson,Arts,,,https://i.pinimg.com/originals/08/e6/41/08e6411b810a13d39a3d1e70beea0dad.jpg,no copyright
Standing Bear Statue,36.6818068,-97.0742998,Standing Bear,Native American,,,https://i.pinimg.com/originals/b7/09/99/b709994037e81908056fcfe007dee5f6.jpg,no copyright
Chief Little Turtle Statue,39.0916756,-84.5042951,Chief Little Turtle,Native American,,,https://i.ytimg.com/vi/Lx-GUTA4agI/maxresdefault.jpg,no copyright
Little Jimmy Dickens Statue,36.161594,-86.7778268,Jimmy Dickens,Arts,,,https://i0.wp.com/nashvillepublicart.com/wp-content/uploads/2020/06/Dickens-Sculpture-1.jpg?fit=1000%2C1866&ssl=1,no copyright
Elvis Presley Statue,32.507923,-93.752967,Elvis Presley,Arts,,,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/elvis-statue-shreveport-randall-weidner.jpg,no copyright
Duke Ellington Statue,40.7968889,-73.9494167,Duke Ellington,Arts,,,https://images.fineartamerica.com/images/artworkimages/mediumlarge/3/duke-ellington-statue-jean-haynes.jpg,no copyright
Buster Keaton Memorial Statue,43.235037,-86.2536449,Buster Keaton,Arts,,,https://img.cdn-pictorem.com/uploads/collection/T/TL8HHM10HPI/900_Ken-Wood_holdstill-hollywood-002.jpg,no copyright
Eadweard James Muybridge Statue,37.7995089,-122.4496243,Eadweard James Muybridge,Arts,,,https://ir.4sqi.net/img/general/original/HL1X2RKEKCFMRKBBRLLZ05YS4G2UVXIYWHBHPKN3S0DEI0G2.jpg,no copyright
José Julián Martí Statue,40.7660656,-73.9760956,Jose Marti,Arts,,,https://live.staticflickr.com/175/410855934_93f020808d_b.jpg,no copyright
Katherine Johnson Statue,38.3802322,-81.7676622,Creola Katherine Johnson,Scientist,,,https://live.staticflickr.com/1873/43356830545_16d6816e46_b.jpg,no copyright
Moore Memorial,40.6586321366119,-73.9645186565758,Thomas Moore,Arts,,,https://live.staticflickr.com/3087/2396408737_94277d5e64.jpg,no copyright
JP Patches and Gertrude Statue site,47.649308,-122.3486199,"J.P. Patches, Gertrude Stein",Arts,,,https://live.staticflickr.com/3367/3433092310_f9c01aa0ba_b.jpg,no copyright
Statue of Charlie Farnsley,38.2577662,-85.7609028,Charlie Farnsley,Politician,,,https://live.staticflickr.com/3690/10156638825_e0441ddbb8_b.jpg,no copyright
Statue of Sir Georg Solti,41.877877,-87.6236379,Georg Solti,Arts,,,https://live.staticflickr.com/3836/14565754351_71654d7429.jpg,no copyright
Ludwig Van Beethoven Statue,40.6588125,-73.9648125,Ludwig Van Beethoven,Arts,,,https://live.staticflickr.com/48/180703044_61c937a12e_b.jpg,no copyright
Eddie Kendrick Memorial Park,33.5155521,-86.8105612,Eddie Kendrick,Arts,,,https://live.staticflickr.com/5473/11826831424_51f4538f8e_z.jpg,no copyright
President Chester A. Arthur Statue,44.0806435,-103.2249916,Chester A. Arthur,President,,,https://live.staticflickr.com/6192/6128759662_1a2e2ba2f7_b.jpg,no copyright
Statue Of Chef Boyardee,40.7680932,-73.9818866,Ettore Boiardi,Chef,,,https://live.staticflickr.com/65535/50184064196_dc99d545de_b.jpg,no copyright
Dolly Parton Statue,35.8677388,-83.5657065,Dolly Parton,Arts,,,https://live.staticflickr.com/65535/51195968037_beda3e6dc1_b.jpg,no copyright
Togo's Statue,40.7144168,-73.9892258,Togo,Animal,,,https://live.staticflickr.com/65535/52076974500_b3b3fef9cc_b.jpg,no copyright
Statue of Albert Bertel Thorvaldsen,40.7885625,-73.9560625,Albert Bertel Thorvaldsen,Arts,,,https://live.staticflickr.com/65535/53015815741_059ecddf3d_b.jpg,no copyright
Duke Ellington Statue,38.915579397354,-77.0205951387316,Duke Ellington,Arts,,,https://live.staticflickr.com/7100/7061708379_c29b5f4b76_b.jpg,no copyright
Statue of Leonidas,37.7707195,-122.4684843,Leonidas,Royalty,,,https://live.staticflickr.com/7221/7177402380_11a406e6f2_b.jpg,no copyright
JAMES OLIVER CURWOOD STATUE,42.9995885,-84.1751808,James Oliver Curwood,Arts,,,https://live.staticflickr.com/7250/27236560890_728f6e360d_b.jpg,no copyright
Washington Irving Memorial,41.0480890097081,-73.8612979833801,Washington Irving,Arts,,,https://media-cdn.sygictraveldata.com/media/800x600/612664395a40232133447d33247d383739303836393630,no copyright
Giant Beatles Statues,29.7486321,-95.3552445,"John Lennon,Paul McCartney,George Harrison, Ringo Starr",Arts,,,https://media-cdn.tripadvisor.com/media/photo-s/15/31/85/95/giant-beatles-statues.jpg,no copyright
Eugene O'Neill's Statue,41.3537458,-72.0925916,Eugene O'Neill,Arts,Noteworthy,,https://myhouserabbit.com/wp-content/uploads/2009/05/audrey_eugeneoneill.jpg,no copyright
Cervantes Monument,37.7720706,-122.4667161,Cervantes,Arts,,,https://noehill.com/sf/landmarks/thepark/cervantes_statue_thumb.jpg,no copyright
James M Stewart Statue,40.6231534,-79.1551866,James M Stewart,Arts,,,https://rutheh.com/wp-content/uploads/2011/07/jimmy-stewart-statue.jpg?w=778,no copyright
Chief Netawatwees Statue,41.1446548,-81.4747576,Chief Netawatwees,Native American,,,https://s.yimg.com/ny/api/res/1.2/EDrWFM4et3P5KgmAxyfBhw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD0xODAw/https://media.zenfs.com/en/the-daily-jeffersonian/4a5aa177c12ea4d198ac24616f3470d6,no copyright
A'ja Wilson Statue,33.9944169,-81.0363265,A'ja Wilson,Athlete,,,https://sc.edu/about/our_history/university_history/images/grid_images/lg_grid_aja_wilson-statue_89641_as.jpg,no copyright
Da Crusher Statue,42.9102805,-87.8629555,Da Crusher,Sports,,,https://smfdwi.org/ImageRepository/Document?documentID=556,no copyright
Bill Monroe Bluegrass Statue,36.1613098,-86.7788429,Bill Monroe,Arts,,,https://squamcreativeservices.com/wp-content/uploads/2018/05/squam-creative-teele-bill-monroe-ryman-auditorium-nashville.jpg,no copyright
Confucius Statue,25.6748047,-80.375656,Confucius,Religious,,,https://static.vecteezy.com/system/resources/previews/000/780/016/non_2x/statue-of-confucius-photo.jpg,no copyright
Lenora Nora Witzel & Nettie Statue,36.5271414,-87.3577379,Lenora Nora Witzel & Nettie,Arts,Interesting,,"https://static.wixstatic.com/media/402c0d_863db2a258b74e28a25b15f9fb1a9f3e~mv2.jpg/v1/fill/w_980,h_1476,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/402c0d_863db2a258b74e28a25b15f9fb1a9f3e~mv2.jpg",no copyright
"Crooked Feather, 30-Foot-Tall Indian Head",30.4151357,-88.8351877,Crooked Feather,Native American,,,https://thetouristchecklist.com/wp-content/uploads/2022/08/Crooked-Feather-Sculpture.jpg,
Historic Binghamton Monument: Christopher Columbus,42.098148,-75.9112984,Christopher Columbus,Explorer,,,https://townsquare.media/site/499/files/2017/09/2017.09.09-COLUMBUS-A.jpg?w=630&amp;h=420&amp;zc=1&amp;s=0&amp;a=t&amp;q=89&w=980&q=75,no copyright
Johann Christoph Friedrich von Schiller Monument,41.9220036,-87.6351836,Friedrich Schiller,Arts,,,https://upload.wikimedia.org/wikipedia/commons/0/00/Friedrich_Von_Schiller_Statue_outside_the_Lincoln_Park_Conservatory-5053.jpg,
Secretariat Statue,40.7138003713584,-73.7233336545918,Secretariat,Animal,,,https://upload.wikimedia.org/wikipedia/commons/0/00/Secretariat_statue.jpg,
Dante Statue,38.9202055,-77.0349734,Dante,Arts,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Dante_%28Malcolm_X_Park%29.jpg,
Gertrude Stein Statue,40.7533318,-73.9831277,Gertrude Stein,Arts,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Gertrude_Stein_statue_in_NYC.jpg,
James Fenimore Cooper Statue,42.6993064,-74.9228897,James Fenimore Cooper,Arts,,,https://upload.wikimedia.org/wikipedia/commons/0/07/James_Fenimore_Cooper_Statue.jpg,
Adams Memorial,38.9473905,-77.0103014,Clover Adams,Other,"Noteworthy, but this is likely not a depiction of the actual person",,https://upload.wikimedia.org/wikipedia/commons/1/10/Adams_Memorial_by_Augustus_Saint_Gaudens_in_Rock_Creek_Cemetery_%2813912211%29.jpg,
Edgar Allan Poe Statue,39.3056906,-76.6173163,Edgar Allan Poe,Arts,,,https://upload.wikimedia.org/wikipedia/commons/1/13/Edgar_Allan_Poe_Statue_%281916%3B_Moses_Jacob_Ezekiel%2C_sculptor%29%2C_1415_Maryland_Avenue%2C_Baltimore%2C_MD_21201_%2836935080013%29.jpg,
Hank Williams Statue,32.380385,-86.3120528,Hank Williams,Arts,,,https://upload.wikimedia.org/wikipedia/commons/1/15/Country_Music_Legend_Hank_Williams_statue%2C_Lister_Hill_Plaza_in_Montgomery%2C_Alabama_LCCN2010638485.tif,
Fred Rogers Memorial Statue,40.4448195,-80.0138663,Fred Rogers,Arts,,,https://upload.wikimedia.org/wikipedia/commons/1/16/MrRogersStatue2023.jpg,
Robert Emmet Statue,37.7701966458401,-122.4670073652,Robert Emmet,Patriot,,,https://upload.wikimedia.org/wikipedia/commons/1/16/Robert_Emmet_%282542968277%29.jpg,
Bill 'Bojangles' Robinson Statue,37.5493468,-77.4403809,Bill 'Bojangles' Robinson,Arts,,,https://upload.wikimedia.org/wikipedia/commons/2/22/Mr_Bojangles_Monument.jpg,
Balto Statue,40.7699742,-73.9710197,Balto,Animal,,,https://upload.wikimedia.org/wikipedia/commons/2/23/Balto_left_jeh.jpg,
Elijah Pierce Statue,39.9666826,-82.9872737,Elijah Pierce,Arts,,,https://upload.wikimedia.org/wikipedia/commons/2/24/Sculpture_of_Elijah_Pierce.jpg,
Henry Longfellow Statue,38.905868,-77.0415125,Henry Wadsworth Longfellow,Arts,,,https://upload.wikimedia.org/wikipedia/commons/2/27/Henry_Wadsworth_Longfellow_Memorial_%28d8afcb9b-7897-4c87-acbe-adfa09400ed9%29.jpg,
Friedrich Schiller,40.773167,-73.971333,Friedrich Schiller,Arts,,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Central_Park_NYC_-_Johann_C._F._von_Schiller_statue_by_C.L._Richter_-_IMG_5720.JPG,
Statue 'Chiune Sugihara',34.0479235,-118.2391566,Chiune Sugihara,Diplomat,,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Chiune_Sugihara_Memorial%2C_Los_Angeles%2C_California%2C_US.jpg,
Henry Wadsworth Longfellow Monument,43.6530165,-70.2668508,Henry Wadsworth Longfellow,Arts,,,https://upload.wikimedia.org/wikipedia/commons/3/32/Longfellow_Statue%2C_Portland%2C_Maine_c.1900.jpg,
Billie Holiday Statue,39.3011803,-76.6320369,Billie Holiday,Arts,,,https://upload.wikimedia.org/wikipedia/commons/3/3b/Billie_Holiday_Statue_%281985%3B_James_Earl_Reid%2C_sculptor%29%2C_Pennsylvania_Avenue_and_W._Lafayette_Avenue%2C_Baltimore%2C_MD_21217_%2826388909567%29.jpg,
Claude Chana Statue (Founding Father of Auburn),38.8962187,-121.0792373,Claude Chana,Pioneer,,,https://upload.wikimedia.org/wikipedia/commons/3/3f/Claude_Chana_-_panoramio.jpg,
Woody Guthrie Mural and Statue,35.4314012,-96.3040377,Woody Guthrie,Arts,,,https://upload.wikimedia.org/wikipedia/commons/4/45/WoodyGuthrieStatue.jpg,
Chief Oshkosh Statue,44.022563,-88.5158602,Chief Oshkosh,Native American,,,https://upload.wikimedia.org/wikipedia/commons/4/47/Chief_Oshkosh_statue.jpg,
Christopher Columbus Statue,25.7763095,-80.1848858,Christopher Columbus,Explorer,,,https://upload.wikimedia.org/wikipedia/commons/4/49/Statue_of_Christopher_Columbus_in_Miami.jpg,
Bruce Lee Statue,34.0651007,-118.2374315,Bruce Lee,Arts,,,https://upload.wikimedia.org/wikipedia/commons/5/50/Old_Chinatown%2C_Los_Angeles%2C_CA_90012%2C_USA_-_panoramio_%2818%29.jpg,
Antonio Aguilar Statue,34.0567289,-118.2377477,Antonio Aguilar,Arts,,,https://upload.wikimedia.org/wikipedia/commons/5/51/Antonio_Aguilar_Equestrian_Statue_Los_Angeles.jpg,
Edwin Booth Statue,40.7379447415165,-73.9859052995105,Edwin Booth,Arts,,,https://upload.wikimedia.org/wikipedia/commons/5/57/Gramercy_Park_Edwin_Booth_statue.jpg,
Charles Sumner Statue,42.3747132,-71.1188173,Charles Sumner,Politician,,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Charles_Sumner_statue_%28Cambridge%2C_MA%29_-_Anne_Whitney_sculptor.JPG,
Joseph Strauss Statue,37.807977,-122.4754098,Joseph Strauss,Arts,,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Joseph_Strauss_statue_at_the_Golden_Gate_Bridge%2C_San_Francisco%2C_California_LCCN2013630018.tif,
Will Rogers and Soapsuds Statue,33.5844785,-101.8736361,Will Rogers and Soapsuds,Arts,,,https://upload.wikimedia.org/wikipedia/commons/5/5d/TTU_Will_Rogers_3.jpg,
Jimi Hendrix Statue,47.6155108,-122.3207065,Jimi Hendrix,Arts,,,https://upload.wikimedia.org/wikipedia/commons/6/68/2012_0923_04_Seattle_%289479409455%29.jpg,
Hans Christian Andersen Monument,40.7744649,-73.9676914,Hans Christian Andersen,Arts,,,https://upload.wikimedia.org/wikipedia/commons/6/68/At_New_York_City_2024_310.jpg,
Buddy Holly Statue,33.5781916,-101.8435121,Buddy Holly,Arts,,,https://upload.wikimedia.org/wikipedia/commons/6/6e/A_statue_of_rock-%27n%27-roll_legend_Buddy_Holly%2C_the_centerpiece_of_a_walk_of_fame_that_honors_other_West_Texas_musicians_in_Holly%27s_hometown_of_Lubbock%2C_Texas_LCCN2014633889.tif,
Christopher Columbus Statue,40.7700488,-73.9174923,Christopher Columbus,Explorer,,,https://upload.wikimedia.org/wikipedia/commons/7/70/Columbus_Triangle_PM_jeh.jpg,
Christopher Columbus Memorial,40.693913,-73.9899172,Christopher Columbus,Explorer,,,https://upload.wikimedia.org/wikipedia/commons/7/75/Christopher_Columbus_statue_Columbus_Park_Brooklyn_front_view.jpg,
Alice Allison Dunnigan statue,36.8448555,-86.8818551,Alice Allison Dunnigan,Civil Rights,,,https://upload.wikimedia.org/wikipedia/commons/7/76/Alice_Alice_Dunnigan_statue.jpg,
Bowen R. Church Statue,41.7850238623328,-71.4158592444749,Bowen R. Church,Arts,,,https://upload.wikimedia.org/wikipedia/commons/7/79/Bowen_R._Church_statue%2C_Roger_Williams_Park%2C_Providence%2C_Rhode_Island.jpg,
Hans Christian Andersen Monument,41.9196187,-87.6346694,Hans Christian Andersen,Arts,,,https://upload.wikimedia.org/wikipedia/commons/7/79/Hans_Christian_Andersen_Lincoln_Park.JPG,
John Lennon Statue,27.9525415,-82.4638211,John Lennon,Arts,,,https://upload.wikimedia.org/wikipedia/commons/7/7f/John_Lennon_Statue.jpg,
Fitz-Greene Halleck,34.0659459,-118.201538,Fitz-Greene Halleck,Arts,,,https://upload.wikimedia.org/wikipedia/commons/8/80/Central_Park_NYC_-_Fitz-Greene_Halleck_sculpture_-_IMG_5660.JPG,
General Pershing Statue,37.7716700155931,-122.466043658155,John J. Pershing,Military,,,https://upload.wikimedia.org/wikipedia/commons/8/81/USA-San_Francisco-General_Pershing_by_Haig_Patigian-1.jpg,
Seaman (Lewis’ dog) statue,47.5299601,-111.2361096,Seaman (Lewis’ dog),Animal,,,https://upload.wikimedia.org/wikipedia/commons/8/8b/Seaman_the_dog_%28ea46514e-9938-0412-6523-58ca69b6c827%29.JPG,
Arnold Statue,39.9720996,-83.0022498,Arnold Schwarzenegger,Arts,,,https://upload.wikimedia.org/wikipedia/commons/8/8c/Arnold_Schwarzenegger_statue_-_DPLA_-_880867817f5b13a82165233bfb483d8e_%28page_2%29.jpg,
Statue of Christopher Columbus,39.9155716,-75.1720833,Christopher Columbus,Explorer,,,https://upload.wikimedia.org/wikipedia/commons/8/8d/Christopher_Columbus_Monument_in_Marconi_Plaza.jpg,
Chris Cornell Memorial Statue,47.6212217,-122.3478142,Chris Cornell,Arts,,,https://upload.wikimedia.org/wikipedia/commons/9/92/Chris_Cornell_memorial_statue.jpg,
Statue of Frank Sutton: Gomer Pyle Nemesis,36.5274117,-87.3599791,Frank Sutton,Arts,,,https://upload.wikimedia.org/wikipedia/commons/9/94/Statue_of_Frank_J_Ney.jpg,
Walt Whitman Statue,39.9114069,-75.1733242,Walt Whitman,Arts,,,https://upload.wikimedia.org/wikipedia/commons/9/96/Walt_Whitman_statue%2C_Philadelphia.jpg,
Chief Hopocan statue,41.0239,-81.5959113,Chief Hopocan,Native American,,,https://upload.wikimedia.org/wikipedia/commons/9/9d/Hopocan.jpg,
Chief Tomokie Sculpture,29.3553184,-81.08999,Chief Tomokie,Native American,Noteworthy,,https://upload.wikimedia.org/wikipedia/commons/9/9e/ChiefTomokieStatueTomokaStatePark.jpg,
Seaman’s Overlook,47.297233244799,-101.087837079367,Seaman (Lewis’ dog),Animal,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Seaman_at_Fort_Mandan.jpg,
Taras Shevchenko Statue,38.9100694,-77.0489974,Taras Shevchenko,Arts,,,https://upload.wikimedia.org/wikipedia/commons/a/a2/Taras_Shevchenko_statue_DC.JPG,
Statue of Christopher Columbus,41.827581822341,-71.50745280262,Christopher Columbus,Explorer,,,https://upload.wikimedia.org/wikipedia/commons/a/ae/Christopher_Columbus_statue_by_Bartholdi.jpg,
"Robert Burns Monument by William Grant Stevenson, RSA",43.0467577,-87.8967893,Robert Burns,Arts,,,https://upload.wikimedia.org/wikipedia/commons/b/b2/Milwaukee_1-3_May_2010_%284589355944%29.jpg,
Statue of Christopher Columbus,39.3595328,-74.4386053,Christopher Columbus,Explorer,,,https://upload.wikimedia.org/wikipedia/commons/b/b9/Columbus_Plaza_AC_td_%282019-04-07%29_018_-_Statue_of_Christopher_Columbus.jpg,
Secretariat Statue,38.1495080208182,-84.5191146559714,Secretariat,Animal,,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Secretariat_KY_Horse_Park.jpg,
Christopher Columbus Statue,40.7699203,-73.9727849,Christopher Columbus,Explorer,,,https://upload.wikimedia.org/wikipedia/commons/c/c7/Statue_of_Christopher_Columbus_in_Central_Park_NYC_2009.jpg,
Schiller Statue,39.9420567,-82.9935453,Friedrich Schiller,Arts,,,https://upload.wikimedia.org/wikipedia/commons/d/d5/Friedrich_Schiller_%28Columbus%29.jpg,
Chester Alan Arthur Monument,40.7427894,-73.986997,Chester A. Arthur,President,,,https://upload.wikimedia.org/wikipedia/commons/e/e8/Chester_A._Arthur_statue_by_Bissell_jeh.jpg,
Statue of Edgar Allan Poe,37.5400011,-77.4343131,Edgar Allan Poe,Arts,,,https://upload.wikimedia.org/wikipedia/commons/e/ef/Edgar_Allan_Poe_Statue_Richmond_Virginia.jpg,
Statue of Christopher Columbus,39.9606898942839,-82.9995141287959,Christopher Columbus,Explorer,,,https://upload.wikimedia.org/wikipedia/commons/f/f7/Columbus%2C_Ohio_2008_snowstorm_20.jpg,
Dickens and Little Nell,39.9485941,-75.2093469,Dickens and Little Nell,Arts,,,https://upload.wikimedia.org/wikipedia/commons/f/fc/Dickens_Statue.png,
John Wayne Statue,34.0647769,-118.3754187,John Wayne,Arts,,,https://upload.wikimedia.org/wikipedia/commons/f/fd/John_Wayne_Statue_Orange_County_Airport.jpg,
Columbus Statue Park,27.9410483,-82.459519,Christopher Columbus,Explorer,,,https://upload.wikimedia.org/wikipedia/commons/f/fd/Tampa_Columbus_Statue_Park%3B_The_Statue.jpg,
Robert Burns Statue,37.7724778,-122.4656538,Robert Burns,Arts,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Robert_Burns_statue_in_Golden_Gate_National_Park%2C_San_Francisco.JPG/1536px-Robert_Burns_statue_in_Golden_Gate_National_Park%2C_San_Francisco.JPG,
Charlie Justice Statue,35.9073585,-79.049338,Charlie Justice,Sports,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Statue_of_Charlie_%22Choo-Choo%22_Justice_-_panoramio.jpg/1365px-Statue_of_Charlie_%22Choo-Choo%22_Justice_-_panoramio.jpg,
Charles Sumner Statue,42.35242,-71.0698365,Charles Sumner,Politician,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Charles_Sumner_statue_in_Boston_Public_Garden_-_DSC08115.JPG/1369px-Charles_Sumner_statue_in_Boston_Public_Garden_-_DSC08115.JPG,
Mozart Statue,42.934544,-78.873617,Wolfgang Amadeus Mozart,Arts,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Jesse_Kregal_Pathway_-_20200317_-_12.jpg/1536px-Jesse_Kregal_Pathway_-_20200317_-_12.jpg,
